dex_num,key,name,base_species,forme,types,abilities,base_stats,prevo,evolves_to,evo_type,evo_level,evo_item,evo_condition,form_flags,required_item,required_move,required_ability,battle_only,changes_from,has_learnset_entry,levelup_move_count_runtime,wild_moves_lvl50,generate_pokemon_lvl50,generate_error,catch_info_runtime_exact,catch_info_data_exists,gain_info_runtime_exact,gain_info_data_exists,ability_entity_metadata_linked,missing_categories,notes
116,Horsea,Horsea,,,Water,Swift Swim|Sniper|Damp,hp=30/atk=40/def=70/spa=70/spd=25/spe=60,,Seadra,,,,,,,,,,,True,16,hydropump|waterpulse|brine|bubblebeam,True,,True,True,True,True,False,,
117,Seadra,Seadra,,,Water,Poison Point|Sniper|Damp,hp=55/atk=65/def=95/spa=95/spd=45/spe=85,Horsea,Kingdra,,32,,,,,,,,,True,16,hydropump|waterpulse|brine|bubblebeam,True,,True,True,True,True,False,evolution_trade_not_supported:Kingdra,Kingdra: trade evolution not supported
118,Goldeen,Goldeen,,,Water,Swift Swim|Water Veil|Lightning Rod,hp=45/atk=67/def=60/spa=35/spd=50/spe=63,,Seaking,,,,,,,,,,,True,14,soak|waterfall|aquaring|waterpulse,True,,True,True,True,True,False,,
119,Seaking,Seaking,,,Water,Swift Swim|Water Veil|Lightning Rod,hp=80/atk=92/def=65/spa=65/spd=80/spe=68,Goldeen,,,33,,,,,,,,,True,15,soak|waterfall|aquaring|waterpulse,True,,True,True,True,True,False,,
120,Staryu,Staryu,,,Water,Illuminate|Natural Cure|Analytic,hp=30/atk=45/def=55/spa=70/spd=55/spe=85,,Starmie,,,,,,,,,,,True,21,hydropump|surf|brine|bubblebeam,True,,True,True,True,True,False,,
121,Starmie,Starmie,,,Water/Psychic,Illuminate|Natural Cure|Analytic,hp=60/atk=75/def=85/spa=100/spd=85/spe=115,Staryu,,useItem,,Water Stone,,,,,,,,True,17,brine|cosmicpower|hydropump|lightscreen,True,,True,True,True,True,False,,
122,Mrmime,Mr. Mime,,,Psychic/Fairy,Soundproof|Filter|Technician,hp=40/atk=45/def=65/spa=100/spd=120/spe=90,Mime Jr.,,levelMove,,,,,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
122,Mrmimegalar,Mr. Mime-Galar,Mr. Mime,Galar,Ice/Psychic,Vital Spirit|Screen Cleaner|Ice Body,hp=50/atk=65/def=65/spa=90/spd=90/spe=100,Mime Jr.,Mr. Rime,levelMove,,,,baseSpecies|forme=Galar,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing; evolution_target_not_resolved_by_current_lookup:Mr. Rime,Mr. Rime: current evolution lookup cannot resolve canonical/form name
123,Scyther,Scyther,,,Bug/Flying,Swarm|Technician|Steadfast,hp=70/atk=110/def=80/spa=55/spd=80/spe=105,,Scizor|Kleavor,,,,,,,,,,,True,19,airslash|furycutter|xscissor|wingattack,True,,True,True,True,True,False,evolution_trade_not_supported:Scizor; evolution_useItem_missing_evoItem:Kleavor; evolution_branching_selection_partial,Scizor: trade evolution not supported Kleavor: useItem without evoItem branching evolution selection is only partial
124,Jynx,Jynx,,,Ice/Psychic,Oblivious|Forewarn|Dry Skin,hp=65/atk=50/def=35/spa=115/spd=95/spe=95,Smoochum,,,30,,,,,,,,,True,22,avalanche|psychic|icepunch|heartstamp,True,,True,True,True,True,False,,
125,Electabuzz,Electabuzz,,,Electric,Static|Vital Spirit,hp=65/atk=83/def=57/spa=95/spd=85/spe=105,Elekid,Electivire,,30,,,,,,,,,True,16,thunderbolt|discharge|thunderpunch|electroball,True,,True,True,True,True,False,evolution_trade_not_supported:Electivire,Electivire: trade evolution not supported
126,Magmar,Magmar,,,Fire,Flame Body|Vital Spirit,hp=65/atk=95/def=57/spa=100/spd=85/spe=93,Magby,Magmortar,,30,,,,,,,,,True,18,sunnyday|flamethrower|lavaplume|firepunch,True,,True,True,True,True,False,evolution_trade_not_supported:Magmortar,Magmortar: trade evolution not supported
127,Pinsir,Pinsir,,,Bug,Hyper Cutter|Mold Breaker|Moxie,hp=65/atk=125/def=100/spa=55/spd=70/spe=85,,,,,,,,,,,,,True,18,xscissor|bugbite|guillotine|swordsdance,True,,True,True,True,True,False,,
127,Pinsirmega,Pinsir-Mega,Pinsir,Mega,Bug/Flying,Aerilate,hp=65/atk=155/def=120/spa=65/spd=90/spe=105,,,,,,,baseSpecies|forme=Mega|requiredItem,Pinsirite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
128,Tauros,Tauros,,,Normal,Intimidate|Anger Point|Sheer Force,hp=75/atk=100/def=95/spa=40/spd=70/spe=110,,,,,,,,,,,,,True,17,thrash|swagger|takedown|ragingbull,True,,True,True,True,True,False,,
128,Taurospaldeaaqua,Tauros-Paldea-Aqua,Tauros,Paldea-Aqua,Fighting/Water,Intimidate|Anger Point|Cud Chew,hp=75/atk=110/def=105/spa=30/spd=70/spe=100,,,,,,,baseSpecies|forme=Paldea-Aqua,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
128,Taurospaldeablaze,Tauros-Paldea-Blaze,Tauros,Paldea-Blaze,Fighting/Fire,Intimidate|Anger Point|Cud Chew,hp=75/atk=110/def=105/spa=30/spd=70/spe=100,,,,,,,baseSpecies|forme=Paldea-Blaze,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
128,Taurospaldeacombat,Tauros-Paldea-Combat,Tauros,Paldea-Combat,Fighting,Intimidate|Anger Point|Cud Chew,hp=75/atk=110/def=105/spa=30/spd=70/spe=100,,,,,,,baseSpecies|forme=Paldea-Combat,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
129,Magikarp,Magikarp,,,Water,Swift Swim|Rattled,hp=20/atk=10/def=55/spa=15/spd=20/spe=80,,Gyarados,,,,,,,,,,,True,3,flail|tackle|splash,True,,True,True,True,True,False,,
130,Gyarados,Gyarados,,,Water/Flying,Intimidate|Moxie,hp=95/atk=125/def=79/spa=60/spd=100/spe=81,Magikarp,,,20,,,,,,,,,True,20,hurricane|raindance|hydropump|aquatail,True,,True,True,True,True,False,,
130,Gyaradosmega,Gyarados-Mega,Gyarados,Mega,Water/Dark,Mold Breaker,hp=95/atk=155/def=109/spa=70/spd=130/spe=81,,,,,,,baseSpecies|forme=Mega|requiredItem,Gyaradosite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
131,Lapras,Lapras,,,Water/Ice,Water Absorb|Shell Armor|Hydration,hp=130/atk=85/def=80/spa=85/spd=95/spe=60,,,,,,,canGigantamax,,,,,,True,16,raindance|sheercold|hydropump|icebeam,True,,True,True,True,True,False,gigantamax_runtime_selection_missing,
131,Laprasgmax,Lapras-Gmax,Lapras,Gmax,Water/Ice,Water Absorb|Shell Armor|Hydration,hp=130/atk=85/def=80/spa=85/spd=95/spe=60,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Lapras,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
132,Ditto,Ditto,,,Normal,Limber|Imposter,hp=48/atk=48/def=48/spa=48/spd=48/spe=48,,,,,,,,,,,,,True,1,Tackle,True,,True,True,True,True,False,,
133,Eevee,Eevee,,,Normal,Run Away|Adaptability|Anticipation,hp=55/atk=55/def=50/spa=45/spd=65/spe=55,,Vaporeon|Jolteon|Flareon|Espeon|Umbreon|Leafeon|Glaceon|Sylveon,,,,,canGigantamax,,,,,,True,18,doubleedge|lastresort|trumpcard|takedown,True,,True,True,True,True,False,gigantamax_runtime_selection_missing; evolution_levelFriendship_not_supported:Espeon; evolution_levelFriendship_not_supported:Umbreon; evolution_levelExtra_not_supported:Sylveon; evolution_branching_selection_partial,Espeon: levelFriendship not supported Umbreon: levelFriendship not supported Sylveon: levelExtra not supported branching evolution selection is only partial
133,Eeveegmax,Eevee-Gmax,Eevee,Gmax,Normal,Run Away|Adaptability|Anticipation,hp=55/atk=55/def=50/spa=45/spd=65/spe=55,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Eevee,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
133,Eeveestarter,Eevee-Starter,Eevee,Starter,Normal,Run Away|Adaptability|Anticipation,hp=65/atk=75/def=70/spa=65/spd=85/spe=75,,,,,,,baseSpecies|forme=Starter,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
134,Vaporeon,Vaporeon,,,Water,Water Absorb|Hydration,hp=130/atk=65/def=60/spa=110/spd=95/spe=65,Eevee,,useItem,,Water Stone,,,,,,,,True,24,hydropump|aquaring|muddywater|waterpulse,True,,True,True,True,True,False,,
135,Jolteon,Jolteon,,,Electric,Volt Absorb|Quick Feet,hp=65/atk=65/def=60/spa=110/spd=95/spe=130,Eevee,,useItem,,Thunder Stone,,,,,,,,True,24,thunder|thunderfang|thunderwave|discharge,True,,True,True,True,True,False,,
136,Flareon,Flareon,,,Fire,Flash Fire|Guts,hp=65/atk=130/def=60/spa=95/spd=110/spe=65,Eevee,,useItem,,Fire Stone,,,,,,,,True,26,flareblitz|fireblast|firefang|lavaplume,True,,True,True,True,True,False,,
137,Porygon,Porygon,,,Normal,Trace|Download|Analytic,hp=65/atk=60/def=70/spa=85/spd=75/spe=40,,Porygon2,,,,,,,,,,,True,17,triattack|doubleedge|lockon|recycle,True,,True,True,True,True,False,evolution_trade_not_supported:Porygon2,Porygon2: trade evolution not supported
138,Omanyte,Omanyte,,,Rock/Water,Swift Swim|Shell Armor|Weak Armor,hp=35/atk=40/def=100/spa=90/spd=55/spe=35,,Omastar,,,,,,,,,,,True,17,surf|ancientpower|rockblast|brine,True,,True,True,True,True,False,,
139,Omastar,Omastar,,,Rock/Water,Swift Swim|Shell Armor|Weak Armor,hp=70/atk=60/def=125/spa=115/spd=70/spe=55,Omanyte,,,40,,,,,,,,,True,19,rockblast|ancientpower|brine|rollout,True,,True,True,True,True,False,,
140,Kabuto,Kabuto,,,Rock/Water,Swift Swim|Battle Armor|Weak Armor,hp=30/atk=80/def=90/spa=55/spd=45/spe=55,,Kabutops,,,,,,,,,,,True,17,liquidation|ancientpower|brine|aquajet,True,,True,True,True,True,False,,
141,Kabutops,Kabutops,,,Rock/Water,Swift Swim|Battle Armor|Weak Armor,hp=60/atk=115/def=105/spa=65/spd=70/spe=80,Kabuto,,,40,,,,,,,,,True,21,brine|aquajet|ancientpower|leechlife,True,,True,True,True,True,False,,
142,Aerodactyl,Aerodactyl,,,Rock/Flying,Rock Head|Pressure|Unnerve,hp=80/atk=105/def=65/spa=60/spd=75/spe=130,,,,,,,,,,,,,True,18,skydrop|stoneedge|ancientpower|rockslide,True,,True,True,True,True,False,,
142,Aerodactylmega,Aerodactyl-Mega,Aerodactyl,Mega,Rock/Flying,Tough Claws,hp=80/atk=135/def=85/spa=70/spd=95/spe=150,,,,,,,baseSpecies|forme=Mega|requiredItem,Aerodactylite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
143,Snorlax,Snorlax,,,Normal,Immunity|Thick Fat|Gluttony,hp=160/atk=110/def=65/spa=65/spd=110/spe=30,Munchlax,,levelFriendship,,,,canGigantamax,,,,,,True,31,gigaimpact|bellydrum|covet|block,True,,True,True,True,True,False,gigantamax_runtime_selection_missing,
143,Snorlaxgmax,Snorlax-Gmax,Snorlax,Gmax,Normal,Immunity|Thick Fat|Gluttony,hp=160/atk=110/def=65/spa=65/spd=110/spe=30,,,,,,,baseSpecies|forme=Gmax|changesFrom,,,,,Snorlax,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; form_trigger_specific_runtime_not_fully_verified; gigantamax_runtime_selection_missing,
144,Articuno,Articuno,,,Ice/Flying,Pressure|Snow Cloak,hp=90/atk=85/def=100/spa=95/spd=125/spe=85,,,,,,,,,,,,,True,18,hail|snowscape|icebeam|freezedry,True,,True,True,True,True,False,,
144,Articunogalar,Articuno-Galar,Articuno,Galar,Psychic/Flying,Competitive,hp=90/atk=85/def=85/spa=125/spd=100/spe=95,,,,,,,baseSpecies|forme=Galar,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
145,Zapdos,Zapdos,,,Electric/Flying,Pressure|Static,hp=90/atk=90/def=85/spa=125/spd=90/spe=100,,,,,,,,,,,,,True,16,discharge|drillpeck|roost|charge,True,,True,True,True,True,False,,
145,Zapdosgalar,Zapdos-Galar,Zapdos,Galar,Fighting/Flying,Defiant,hp=90/atk=125/def=90/spa=85/spd=90/spe=100,,,,,,,baseSpecies|forme=Galar,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
146,Moltres,Moltres,,,Fire/Flying,Pressure|Flame Body,hp=90/atk=100/def=90/spa=125/spd=85/spe=90,,,,,,,,,,,,,True,20,airslash|sunnyday|flamethrower|heatwave,True,,True,True,True,True,False,,
146,Moltresgalar,Moltres-Galar,Moltres,Galar,Dark/Flying,Berserk,hp=90/atk=85/def=90/spa=100/spd=125/spe=90,,,,,,,baseSpecies|forme=Galar,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
147,Dratini,Dratini,,,Dragon,Shed Skin|Marvel Scale,hp=41/atk=64/def=45/spa=50/spd=50/spe=50,,Dragonair,,,,,,,,,,,True,15,dragondance|outrage|dragonrush|dragontail,True,,True,True,True,True,False,,
148,Dragonair,Dragonair,,,Dragon,Shed Skin|Marvel Scale,hp=61/atk=84/def=65/spa=70/spd=70/spe=70,Dratini,Dragonite,,30,,,,,,,,,True,15,dragonrush|dragontail|dragonrage|twister,True,,True,True,True,True,False,,
149,Dragonite,Dragonite,,,Dragon/Flying,Inner Focus|Multiscale,hp=91/atk=134/def=95/spa=100/spd=100/spe=80,Dragonair,,,55,,,,,,,,,True,21,dragonrush|outrage|dragontail|dragonrage,True,,True,True,True,True,False,,
150,Mewtwo,Mewtwo,,,Psychic,Pressure|Unnerve,hp=106/atk=110/def=90/spa=154/spd=90/spe=130,,,,,,,,,,,,,True,22,psychocut|amnesia|psychic|futuresight,True,,True,True,True,True,False,,
150,Mewtwomegax,Mewtwo-Mega-X,Mewtwo,Mega-X,Psychic/Fighting,Steadfast,hp=106/atk=190/def=100/spa=154/spd=100/spe=130,,,,,,,baseSpecies|forme=Mega-X|requiredItem,Mewtwonite X,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
150,Mewtwomegay,Mewtwo-Mega-Y,Mewtwo,Mega-Y,Psychic,Insomnia,hp=106/atk=150/def=70/spa=194/spd=120/spe=140,,,,,,,baseSpecies|forme=Mega-Y|requiredItem,Mewtwonite Y,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
151,Mew,Mew,,,Psychic,Synchronize,hp=100/atk=100/def=100/spa=100/spd=100/spe=100,,,,,,,,,,,,,True,15,psychic|barrier|amnesia|ancientpower,True,,True,True,True,True,False,,
152,Chikorita,Chikorita,,,Grass,Overgrow|Leaf Guard,hp=45/atk=49/def=65/spa=49/spd=65/spe=45,,Bayleef,,,,,,,,,,,True,16,solarbeam|aromatherapy|gigadrain|leechseed,True,,True,True,True,True,False,,
153,Bayleef,Bayleef,,,Grass,Overgrow|Leaf Guard,hp=60/atk=62/def=80/spa=63/spd=80/spe=60,Chikorita,Meganium,,16,,,,,,,,,True,16,aromatherapy|gigadrain|leechseed|synthesis,True,,True,True,True,True,False,,
154,Meganium,Meganium,,,Grass,Overgrow|Leaf Guard,hp=80/atk=82/def=100/spa=83/spd=100/spe=80,Bayleef,,,32,,,,,,,,,True,18,petaldance|leechseed|synthesis|magicalleaf,True,,True,True,True,True,False,,
155,Cyndaquil,Cyndaquil,,,Fire,Blaze|Flash Fire,hp=39/atk=52/def=43/spa=60/spd=50/spe=65,,Quilava,,,,,,,,,,,True,17,eruption|flamethrower|inferno|lavaplume,True,,True,True,True,True,False,,
156,Quilava,Quilava,,,Fire,Blaze|Flash Fire,hp=58/atk=64/def=58/spa=80/spd=65/spe=80,Cyndaquil,Typhlosion|Typhlosion-Hisui,,14,,,,,,,,,True,17,flamethrower|lavaplume|flamecharge|flamewheel,True,,True,True,True,True,False,evolution_target_not_resolved_by_current_lookup:Typhlosion-Hisui; evolution_branching_selection_partial,Typhlosion-Hisui: current evolution lookup cannot resolve canonical/form name branching evolution selection is only partial
157,Typhlosion,Typhlosion,,,Fire,Blaze|Flash Fire,hp=78/atk=84/def=78/spa=109/spd=85/spe=100,Quilava,,,36,,,,,,,,,True,18,flamethrower|lavaplume|flamecharge|flamewheel,True,,True,True,True,True,False,,
157,Typhlosionhisui,Typhlosion-Hisui,Typhlosion,Hisui,Fire/Ghost,Blaze|Frisk,hp=73/atk=84/def=78/spa=119/spd=85/spe=95,Quilava,,,36,,,baseSpecies|forme=Hisui,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
158,Totodile,Totodile,,,Water,Torrent|Sheer Force,hp=50/atk=65/def=64/spa=44/spd=48/spe=43,,Croconaw,,,,,,,,,,,True,16,hydropump|aquatail|watergun|superpower,True,,True,True,True,True,False,,
159,Croconaw,Croconaw,,,Water,Torrent|Sheer Force,hp=65/atk=80/def=80/spa=59/spd=63/spe=58,Totodile,Feraligatr,,18,,,,,,,,,True,16,aquatail|watergun|superpower|thrash,True,,True,True,True,True,False,,
160,Feraligatr,Feraligatr,,,Water,Torrent|Sheer Force,hp=85/atk=105/def=100/spa=79/spd=83/spe=78,Croconaw,,,30,,,,,,,,,True,17,aquatail|watergun|screech|slash,True,,True,True,True,True,False,,
161,Sentret,Sentret,,,Normal,Run Away|Keen Eye|Frisk,hp=35/atk=46/def=34/spa=35/spd=45/spe=20,,Furret,,,,,,,,,,,True,15,hypervoice|doubleedge|mefirst|batonpass,True,,True,True,True,True,False,,
162,Furret,Furret,,,Normal,Run Away|Keen Eye|Frisk,hp=85/atk=76/def=64/spa=45/spd=55/spe=90,Sentret,,,15,,,,,,,,,True,17,doubleedge|mefirst|batonpass|followme,True,,True,True,True,True,False,,
163,Hoothoot,Hoothoot,,,Normal/Flying,Insomnia|Keen Eye|Tinted Lens,hp=60/atk=30/def=30/spa=36/spd=56/spe=50,,Noctowl,,,,,,,,,,,True,19,roost|uproar|airslash|takedown,True,,True,True,True,True,False,,
164,Noctowl,Noctowl,,,Normal/Flying,Insomnia|Keen Eye|Tinted Lens,hp=100/atk=50/def=50/spa=86/spd=96/spe=70,Hoothoot,,,20,,,,,,,,,True,20,roost|uproar|airslash|takedown,True,,True,True,True,True,False,,
165,Ledyba,Ledyba,,,Bug/Flying,Swarm|Early Bird|Rattled,hp=40/atk=20/def=30/spa=40/spd=80/spe=55,,Ledian,,,,,,,,,,,True,14,bugbuzz|airslash|silverwind|doubleedge,True,,True,True,True,True,False,,
166,Ledian,Ledian,,,Bug/Flying,Swarm|Early Bird|Iron Fist,hp=55/atk=35/def=50/spa=55/spd=110/spe=85,Ledyba,,,18,,,,,,,,,True,14,airslash|bugbuzz|silverwind|doubleedge,True,,True,True,True,True,False,,
167,Spinarak,Spinarak,,,Bug/Poison,Swarm|Insomnia|Sniper,hp=40/atk=60/def=40/spa=40/spd=40/spe=30,,Ariados,,,,,,,,,,,True,19,stickyweb|crosspoison|poisonjab|spiderweb,True,,True,True,True,True,False,,
168,Ariados,Ariados,,,Bug/Poison,Swarm|Insomnia|Sniper,hp=70/atk=90/def=70/spa=60/spd=70/spe=40,Spinarak,,,22,,,,,,,,,True,24,poisonjab|crosspoison|spiderweb|pinmissile,True,,True,True,True,True,False,,
169,Crobat,Crobat,,,Poison/Flying,Inner Focus|Infiltrator,hp=85/atk=90/def=80/spa=70/spd=80/spe=130,Golbat,,levelFriendship,,,,,,,,,,True,20,poisonfang|venoshock|airslash|aircutter,True,,True,True,True,True,False,,
170,Chinchou,Chinchou,,,Water/Electric,Volt Absorb|Illuminate|Water Absorb,hp=75/atk=38/def=38/spa=56/spd=56/spe=67,,Lanturn,,,,,,,,,,,True,16,charge|iondeluge|hydropump|aquaring,True,,True,True,True,True,False,,
171,Lanturn,Lanturn,,,Water/Electric,Volt Absorb|Illuminate|Water Absorb,hp=125/atk=58/def=58/spa=76/spd=76/spe=67,Chinchou,,,27,,,,,,,,,True,21,hydropump|discharge|aquaring|bubblebeam,True,,True,True,True,True,False,,
172,Pichu,Pichu,,,Electric,Static|Lightning Rod,hp=20/atk=40/def=15/spa=35/spd=35/spe=60,,Pikachu,,,,,,,,,,,True,8,thunderwave|nuzzle|thundershock|charm,True,,True,True,True,True,False,evolution_levelFriendship_not_supported:Pikachu,Pikachu: levelFriendship not supported
172,Pichuspikyeared,Pichu-Spiky-eared,Pichu,Spiky-eared,Electric,Static,hp=20/atk=40/def=15/spa=35/spd=35/spe=60,,,,,,,baseSpecies|forme=Spiky-eared,,,,,,True,0,Struggle,True,,True,True,False,False,False,no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing; alternate_form_selection_runtime_missing,
173,Cleffa,Cleffa,,,Fairy,Cute Charm|Magic Guard|Friend Guard,hp=50/atk=25/def=28/spa=45/spd=55/spe=15,,Clefairy,,,,,,,,,,,True,9,charm|sweetkiss|disarmingvoice|magicalleaf,True,,True,True,True,True,False,evolution_levelFriendship_not_supported:Clefairy,Clefairy: levelFriendship not supported
174,Igglybuff,Igglybuff,,,Normal/Fairy,Cute Charm|Competitive|Friend Guard,hp=90/atk=30/def=15/spa=40/spd=20/spe=15,,Jigglypuff,,,,,,,,,,,True,8,Tackle|copycat|disable|sweetkiss,True,,True,True,True,True,False,evolution_levelFriendship_not_supported:Jigglypuff,Jigglypuff: levelFriendship not supported
175,Togepi,Togepi,,,Fairy,Hustle|Serene Grace|Super Luck,hp=35/atk=20/def=65/spa=40/spd=65/spe=20,,Togetic,,,,,,,,,,,True,17,charm|sweetkiss|lastresort|doubleedge,True,,True,True,True,True,False,evolution_levelFriendship_not_supported:Togetic,Togetic: levelFriendship not supported
176,Togetic,Togetic,,,Fairy/Flying,Hustle|Serene Grace|Super Luck,hp=55/atk=40/def=85/spa=80/spd=105/spe=40,Togepi,Togekiss,levelFriendship,,,,,,,,,,True,19,fairywind|charm|sweetkiss|lastresort,True,,True,True,True,True,False,,
177,Natu,Natu,,,Psychic/Flying,Synchronize|Early Bird|Magic Bounce,hp=40/atk=50/def=45/spa=70/spd=45/spe=70,,Xatu,,,,,,,,,,,True,16,psychic|powerswap|guardswap|futuresight,True,,True,True,True,True,False,,
178,Xatu,Xatu,,,Psychic/Flying,Synchronize|Early Bird|Magic Bounce,hp=65/atk=75/def=70/spa=95/spd=70/spe=95,Natu,,,25,,,,,,,,,True,18,futuresight|storedpower|psychoshift|psychic,True,,True,True,True,True,False,,
179,Mareep,Mareep,,,Electric,Static|Plus,hp=55/atk=40/def=40/spa=65/spd=45/spe=35,,Flaaffy,,,,,,,,,,,True,16,thunder|discharge|charge|electroball,True,,True,True,True,True,False,,
180,Flaaffy,Flaaffy,,,Electric,Static|Plus,hp=70/atk=55/def=55/spa=80/spd=60/spe=45,Mareep,Ampharos,,15,,,,,,,,,True,16,thunder|discharge|charge|electroball,True,,True,True,True,True,False,,
181,Ampharos,Ampharos,,,Electric,Static|Plus,hp=90/atk=75/def=85/spa=115/spd=90/spe=55,Flaaffy,,,30,,,,,,,,,True,22,discharge|thunderpunch|charge|electroball,True,,True,True,True,True,False,,
181,Ampharosmega,Ampharos-Mega,Ampharos,Mega,Electric/Dragon,Mold Breaker,hp=90/atk=95/def=105/spa=165/spd=110/spe=45,,,,,,,baseSpecies|forme=Mega|requiredItem,Ampharosite,,,,,False,0,Struggle,True,,True,True,False,False,False,no_learnset_entry; no_levelup_moves_runtime; wild_moves_fall_back_to_struggle; exp_ev_canonical_lookup_miss; exp_ev_data_missing,
182,Bellossom,Bellossom,,,Grass,Chlorophyll|Healer,hp=75/atk=80/def=95/spa=90/spd=100/spe=50,Gloom,,useItem,,Sun Stone,,,,,,,,True,21,petalblizzard|petaldance|magicalleaf|absorb,True,,True,True,True,True,False,,
183,Marill,Marill,,,Water/Fairy,Thick Fat|Huge Power|Sap Sipper,hp=70/atk=20/def=50/spa=20/spd=50/spe=40,Azurill,Azumarill,levelFriendship,,,,,,,,,,True,19,hydropump|aquatail|raindance|aquaring,True,,True,True,True,True,False,,
184,Azumarill,Azumarill,,,Water/Fairy,Thick Fat|Huge Power|Sap Sipper,hp=100/atk=50/def=80/spa=60/spd=80/spe=50,Marill,,,18,,,,,,,,,True,19,aquatail|hydropump|raindance|aquaring,True,,True,True,True,True,False,,
185,Sudowoodo,Sudowoodo,,,Rock,Sturdy|Rock Head|Rattled,hp=70/atk=100/def=115/spa=30/spd=65/spe=30,Bonsly,,levelMove,,,,,,,,,,True,19,headsmash|stoneedge|rockslide|rocktomb,True,,True,True,True,True,False,,
186,Politoed,Politoed,,,Water,Water Absorb|Damp|Drizzle,hp=90/atk=75/def=75/spa=90/spd=100/spe=70,Poliwhirl,,trade,,King's Rock,,,,,,,,True,16,bubblebeam|hydropump|raindance|watergun,True,,True,True,True,True,False,,
187,Hoppip,Hoppip,,,Grass/Flying,Chlorophyll|Leaf Guard|Infiltrator,hp=35/atk=35/def=40/spa=35/spd=55/spe=50,,Skiploom,,,,,,,,,,,True,20,bounce|gigadrain|worryseed|cottonspore,True,,True,True,True,True,False,,
